term	definition
bitter, long-standing resentment or ill will	rancor
The feud left years of bitterness between the cousins.	The feud left years of rancor between the cousins.
extremely unpleasant; hateful	odious
The rule was so offensive that staff refused to enforce it.	The rule was so odious that staff refused to enforce it.
lacking strength; weak	feeble
His voice was thin and barely carried across the room.	His voice was feeble and barely carried across the room.
take time to consider something carefully (idiom)	Ponder the implications
Think about that for a moment.	Ponder the implications for a moment.
very exciting; thrilling	exhilarating
That's exciting news.	That's exhilarating news.
dull and wearisome	tedious
It's really boring in here.	It's quite tedious in here.
extremely happy	elated
You seem happy today.	You seem elated today.
very talkative; fond of conversation	garrulous
My uncle is very talkative at dinner.	My uncle is garrulous at dinner.
deeply felt; intense	profound
She has very strong feelings about the issue.	She has profound feelings about the issue.
deeply knowledgeable (formal, slightly playful)	a profound gentleman
He's a very smart guy.	He's a very profound gentleman.
relating to spring	vernal
The garden looks like spring itself after the rain.	The garden looks vernal after the rain.
rich in greenness	verdurous
The hillside was rich in greenness after the storm.	The hillside was verdurous after the storm.
the beginning of youth; the onset of youthfulness	juvenescence
The photo captured the beginning of youth in her smile.	The photo captured juvenescence in her smile.
becoming hotter; growing warmer	incalescent
The weather is getting hotter every afternoon.	The weather is incalescent every afternoon.
having a pleasing aroma	redolent
The kitchen had a pleasing aroma of garlic and herbs.	The kitchen was redolent of garlic and herbs.
relating to rain or rainfall	hyetal
The forecast focused on rain and rainfall totals.	The forecast focused on hyetal totals.
relating to shepherds; rustic and pastoral	bucolic
The valley scene looked rustic and peaceful.	The valley scene looked bucolic.
to give life to; to enliven	vivify
The speech helped give life to the old tradition.	The speech helped vivify the old tradition.
relating to winter	brumal
The morning felt cold and wintry.	The morning felt brumal.
an unexpected change or shift (often in conditions)	vicissitude
The contrast between the seasons shows how quickly weather can change.	The vicissitude of the seasons shows how quickly weather can change.
very old; outdated	archaic
That rule is really old and out of date.	That rule is archaic and out of date.
a soft, gentle breeze	zephyr
A nice breeze cooled the porch at dusk.	A zephyr cooled the porch at dusk.
quiet; still; inactive	quiescent
It's nice to have a quiet day at home.	It's nice to have a quiescent day at home.
an excess or overabundance	plethora
We have a lot of alcohol left from the party.	We have a plethora of alcohol left from the party.
a person who flatters authority to gain favor	sycophant
We all become flatterers when a cop pulls us over.	We all become sycophants when a cop pulls us over.
extremely hungry	ravenous
Everyone is really hungry after the hike.	Everyone is ravenous after the hike.
to place side by side for comparison	to juxtapose
Today I put Mac and Windows next to each other on the desk.	Today I juxtaposed Mac and Windows on the desk.
brisk and cheerful readiness	alacritous
The lively young boy jumped into the leaves.	The alacritous young boy jumped into the leaves.
having many colors	polychromatic
The mural was multicolored and bright.	The mural was polychromatic and bright.
although; even though	albeit
The plan was risky, although we tried it anyway.	The plan was risky, albeit we tried it anyway.
acting early brings rewards (proverb)	the early bird gets the worm
Prompt action yields rewards in this market.	The early bird gets the worm in this market.
ready to go (informal rhyme)	Ready Freddy?
Are you ready?	Ready Freddy?
in agreement	in agreement
I agree with your plan.	I'm in agreement with your plan.
the world is ruthlessly competitive (idiom)	a dog-eat-dog world
It's tough out there for small shops.	We live in a dog-eat-dog world out there for small shops.
from this time forward; from now on	henceforth
In the future, all requests must go through the portal.	Henceforth, all requests must go through the portal.
to share the same understanding (idiom)	to share the same perspective
I just wanted to make sure we're on the same page.	I want to ensure we share the same perspective.
beneficial to all sides; win-win	mutually advantageous
That deal sounds like a win-win to me.	That deal seems mutually advantageous to me.
to wander off topic while speaking	to digress
Sorry, I'm rambling again.	Sorry, I digress again.
near death; in grave danger (idiom)	at death's door
She thought she was going to die during the fever.	She thought she was at death's door during the fever.
signs of surviving hard times (idiom)	battle scars
We're barely making it through this quarter.	We've got battle scars from this quarter.
to attack a problem with full force (idiom)	to wage war on
I'm gonna go all in on this problem.	I'm about to wage war on this problem.
not inclined to reveal personal matters	reticent
She was pretty private about her personal affairs.	She was extremely reticent about her personal affairs.
fond of company; sociable	gregarious
He was a popular man who liked company.	He was a popular and gregarious man.
someone who attacks cherished beliefs or institutions	iconoclast
He enjoys attacking sacred cows in every meeting.	He plays the iconoclast in every meeting.
keeps me busy and out of trouble (idiom)	it keeps me off the streets
The side job keeps me busy on weekends.	The side job keeps me off the streets on weekends.
an event causing great damage or distress	calamity
The flood was an event leading to damage and distress.	The flood was a calamity.
talking about sex and reproduction (idiom)	the birds and the bees
I'm sure they're not talking about anything much.	I'm sure they're just talking about the birds and the bees.
a serious hidden weakness	a fatal flaw
There's a big problem in the design.	There seems to be a fatal flaw in the design.
formal way to invite someone forward (playful)	Your chariot awaits
Right this way, sir.	Your chariot awaits, sir.
deep regret or guilt	remorse
We have no guilt about the decision.	We have no remorse about the decision.
to pose a puzzling question (idiom)	Riddle me this
I'm wondering how this happened.	Riddle me this: how did this happen?
without my knowledge	unbeknownst to me
But I didn't know that at the time.	However, unbeknownst to me at the time,...
to try every possible option	to explore every avenue
We tried everything before calling a specialist.	We explored every avenue before calling a specialist.
serving as a sign or indication	indicative
It indicates that morale is low.	It is indicative that morale is low.
slow, inconsiderate driver (idiom)	Sunday driver
These drivers are painfully slow in the left lane.	These Sunday drivers are painfully slow in the left lane.
the last possible moment (idiom)	the eleventh hour
We're procrastinating on this deadline again.	We're truly at the eleventh hour on this deadline.
actions that produce measurable progress	to achieve measurable progress
Do the things that move the needle of success.	Perform actions that achieve measurable progress.
to break someone's momentum or focus (informal)	you messed up my mojo
Now I'm out of my flow.	Now you messed up my mojo!
extremely foul-smelling	putrid
It was the most disgusting nasty smell I have ever smelled.	It was the most putrid scent I have ever smelled.
delicate and finely made	dainty
It's a very delicate-looking handkerchief.	It's a very dainty handkerchief.
small or modest (especially appetite)	dainty
You don't eat that much at dinner.	You have quite a dainty appetite at dinner.
to become less intense; to abate	to subside
I'll wait for the waters to lessen.	I'll wait for the waters to subside.
boldly resistant; rebellious	defiant
It's a rebellious lifestyle.	It's a defiant lifestyle.
to speed up or make happen sooner	to expedite
He promised to speed up economic reforms.	He promised to expedite economic reforms.
went out of fashion (idiom)	lost its way
This thing went out of style in the 90s.	This thing lost its way in the 90s.
not suitable or flattering (of clothes)	not fitting
These clothes don't look good on me.	These clothes are not fitting on me.
a fresh start in life (idiom)	a new lease on life
He sees it differently after the move.	He has a new lease on life after the move.
very small	diminutive
The kitten looked small beside the dog.	The kitten looked diminutive beside the dog.
very large	enormous
The warehouse looked big from the road.	The warehouse looked enormous from the road.
repeating the same steps again and again (idiom)	wash, rinse, repeat
And again and again we ran the same test.	Wash, rinse, repeat—we ran the same test.
difficult to find	hard-pressed to find
It's hard to find a cleaner example.	You'd be hard-pressed to find a cleaner example.
to cause trouble or disruption	to make waves
Try not to disturb the group dynamic.	Try not to make waves in the group dynamic.
to finish and release quickly (informal)	Rip it and ship it
Just get it done by Friday.	Rip it and ship it by Friday.
to state one's honest view (idiom)	Here's what I really see
To be honest, this plan won't work.	Here's what I really see: this plan won't work.
the wisest option	the best course of action
Maybe we could delay the launch.	The best course of action is to delay the launch.
absolutely necessary	imperative
It's really important that we leave now.	It is imperative that we leave now.
showing passionate intensity	fervent about
She is really passionate about animal rescue.	She is fervent about animal rescue.
extremely foolish	ignoramus
Calling that a strategy is dumb.	Only an ignoramus would call that a strategy.
to strip or take away (often rights or assets)	to divest
The court may deprive him of control over the company.	The court may divest him of control over the company.
confident in one's ability	to handle it
I think I can do it.	I'm confident I can handle it.
to restate for clarity	Let me clarify that for you
Yeah, I'll say it again.	Let me clarify that for you.
an official order with force of law	decree
The government issued a notice to the public.	The government issued a decree to the public.
respectful submission to elders	deference
He shows respect to his elders in every meeting.	He showed deference to his elders in every meeting.
lacking an essential amount	deficient in vitamins
There's not enough vitamins in this diet.	The diet is deficient in vitamins.
to politely decline or hesitate	to demur
She didn't feel like staying any longer.	She demurred at the idea of staying any longer.
used up or exhausted	to deplete
The hikers ran out of food quickly.	The hikers' food supply was quickly depleted.
deserted and bleak	desolate
We got to the field and it was empty.	We got to the field and it was desolate.
to plan or invent carefully	to devise
He thought of a strategy to win.	He devised a strategy to win.
a choice between two difficult options	dilemma
She faced a problem about whether to stay or leave.	She faced a dilemma about whether to stay or leave.
to become smaller or less intense	to diminish
As the crowd dispersed, it got quieter.	As the crowd dispersed, the noise diminished.
disagreement or conflict within a group	discord
The team disagreed about the deadline.	There was discord among the team about the deadline.
a sudden loss of hope or courage	dismay
He felt hopeless watching the building collapse.	He was in dismay as the building collapse unfolded.
to speak disrespectfully about; to belittle	to disparage
Try not to talk down to the interns.	Try not to disparage the interns.
official military principles or belief system	military doctrine
The lecture covered military philosophy from several eras.	The lecture covered military doctrine from several eras.
complete authority or control	dominion
The CEO had full authority and power over the budget.	The CEO had dominion over the budget.
dull, gloomy, and depressing	dreary and overcast
The weather was pretty grey and sad.	The weather was dreary and overcast.
not easily noticed; blending in	inconspicuous
It blends in well with the rest of the block.	It's inconspicuous on the rest of the block.
to prevent from happening; to make impossible	to preclude
The contract may prevent that option entirely.	The contract may preclude that option entirely.
to deny or reject publicly	to disavow
He appears to be in denial of his own past, which he continually says he has no responsibility for.	He appears to be in denial of his own past, which he continually disavows.
extremely anxious or agitated (informal)	hell-bent over
You seem really nervous about the presentation.	You seem hell-bent over the presentation.
relaxing in luxury	luxuriating
We're just chillin' out by the pool today.	We're luxuriating by the pool today.
the best in a category	best in class
This vendor is the best we tested.	This vendor is best in class.
to increase commitment or risk	to put some skin in the game
Let's raise the stakes on this launch.	Let's put some skin in the game on this launch.
stuck between stages; unresolved	in limbo
The application is stuck in the middle.	The application is in limbo.
extremely heavy rainfall	a torrential downpour
It's raining hard enough to flood the gutters.	There's a torrential downpour flooding the gutters.
complacent and satisfied (often excessively)	fat and happy
Everyone thinks everything is okay.	Everyone's fat and happy.
by one's own choice	on his own volition
He chose to do it without being asked.	He did it on his own volition.
nevertheless; even so	Be that as it may
Having said that, we still need a backup plan.	Be that as it may, we still need a backup plan.
a strong intuitive sense (informal)	My spider sense tells me that
I have a feeling that the numbers are off.	My spider sense tells me that the numbers are off.
to accelerate suddenly; to move at full speed (informal)	to hit the hyperdrive
Let's go before we lose the light.	Let's hit the hyperdrive before we lose the light.
an enthusiastic devotee	an avid sunset watcher
I really enjoy watching sunsets from the roof.	I am an avid sunset watcher from the roof.
arrived before anyone else (idiom)	came to open the doors
I got there early and waited alone.	I feel like I came to open the doors.
everything imaginable	everything in the kitchen sink
The kit includes every tool we could think of.	The kit includes everything in the kitchen sink.
buy quality once rather than replace cheap goods (idiom)	Buy it nice or buy it twice
Don't buy garbage that breaks in a month.	Buy it nice or buy it twice.
a major cultural turning point	a cultural moment
The premiere felt really important culturally.	The premiere felt like a cultural moment.
only just; by a very narrow margin	by the skin of your teeth
We barely made the last train.	We made the last train by the skin of your teeth.
those you spend time with shape you (proverb)	He who walks with wolves learns to howl
You become your five closest friends over time.	He who walks with wolves learns to howl over time.
in a risky or precarious situation (idiom)	walking on thin ice
That's dangerous and could backfire fast.	You're walking on thin ice and it could backfire fast.
to find richness and meaning	to excavate richness and meaning
We need to find richness and meaning in the work.	We need to excavate richness and meaning in the work.
lacking substance or interest; empty	vapid
That conversation felt useless and empty.	That conversation felt vapid.
to think creatively; to innovate	to be innovative
We need to think outside the box on pricing.	We need to be innovative on pricing.
truly; in the literal sense	Truly!
He literally meant every word of it.	Truly, he meant every word of it.
extremely impressive; remarkable	Remarkable!
That performance was amazing from start to finish.	That performance was astonishing and remarkable!
extremely impressive; splendid	Splendid!
The view from the ridge was awesome.	The view from the ridge was magnificent and splendid!
acceptance of an unchangeable situation (idiom)	That's the reality we must accept
It is what it is, and we move forward.	That's the reality we must accept, and we move forward.
hope within hardship (idiom)	a glimmer of hope amid adversity
Every cloud has a silver lining if you look.	There's a glimmer of hope amid adversity if you look.
raining very heavily	pouring relentlessly
It's raining cats and dogs outside.	It's pouring relentlessly outside.
very easy; straightforward	straightforward
That exam was a piece of cake.	That exam was straightforward.
to start quickly and energetically	to commence vigorously
We need to hit the ground running on Monday.	We need to commence vigorously on Monday.
deeply sad	melancholy
The letter left her sad all afternoon.	The letter left her melancholy all afternoon.
better to do something late than not at all (proverb)	Preferable to complete omission
Better late than never, so send the form today.	Preferable to complete omission—send the form today.
barely on time; narrowly timely	narrowly timely
The package arrived just in time.	The package arrived narrowly timely.
deeply in love	enamored and infatuated
She is so in love she forgets to eat.	She is enamored and infatuated enough to forget to eat.
to use resources strategically	to utilize resources strategically
We need to leverage resources across teams.	We need to utilize resources strategically across teams.
radically new and game-changing	transformative and groundbreaking
The update was disruptive to old workflows.	The update was transformative and groundbreaking for old workflows.
widely recognizable and symbolic	emblematic
The logo became iconic after the campaign.	The logo became emblematic after the campaign.
a major turning point	a pivotal development
The feature was a game-changer for retention.	The feature was a pivotal development for retention.
frankly; in an open and honest way	Candidly
Honestly, I think we should pause the rollout.	Candidly, I think we should pause the rollout.
with the understanding that it may not help much (idiom)	Though it may be of limited value
For what it's worth, I liked the draft.	Though it may be of limited value, I liked the draft.
a fundamental change in approach	a paradigm shift
We need a paradigm shift in how support is staffed.	We need a fundamental transformation in how support is staffed.
a thorough and detailed examination	a comprehensive review
Let's do a deep dive on the metrics.	Let's do a comprehensive review of the metrics.
an elaborate but insincere display	a dog and pony show
The demo felt like an over-the-top fake performance.	The demo felt like a dog and pony show.
in return; the same to you	Likewise
You too—have a good night.	Likewise—have a good night.
to summarize after a long explanation (idiom)	I said all this to say
Basically, we need more time.	I said all this to say we need more time.
dangerously close to a limit (idiom)	cutting it close
We're almost out of time on this.	We're cutting it close on this.
among the best of a generation	generational talent
He's the best at what he does in the league.	He's generational talent in the league.
in serious trouble or danger (idiom)	in dire straits
To be in danger now is to be without options.	To be in dire straits now is to be without options.
utterly astonished (flabbergasted)	flabbergasted
I was completely astonished by the news.	I was completely flabbergasted by the news.
misinterpreted (misconstrued)	misconstrued
They completely misread my tone in the email.	They completely misconstrued my tone in the email.
second to last (penultimate)	penultimate
We met on the second-to-last day of the trip.	We met on the penultimate day of the trip.
on our own (idiom: left to our own devices)	left to our own devices
After the guide left, we were on our own.	After the guide left, we were left to our own devices.
started a messy problem (idiom)	opened a can of worms
One comment started a messy problem in the thread.	One comment opened a can of worms in the thread.
beauty is subjective (proverb)	beauty is in the eye of the beholder
The painting looks odd to me, but beauty is subjective.	The painting looks odd to me, but beauty is in the eye of the beholder.
departments not cooperating (idiom)	the left hand doesn't talk to the right hand
Support and billing aren't cooperating again.	The left hand doesn't talk to the right hand again.
